code,industry_id,date,last_updated
000012,C020205,1992-02-28 00:00:00.000000,2017-12-15 08:40:47.919811
000023,C020201,1993-04-29 00:00:00.000000,2017-12-15 08:40:47.919811
000060,C020204,1997-01-23 00:00:00.000000,2017-12-15 08:40:47.919811
000155,C020103,2000-09-26 00:00:00.000000,2017-12-15 08:40:47.919811
000156,C020201,2000-09-06 00:00:00.000000,2017-12-15 08:40:47.919811
000401,C020201,1996-06-14 00:00:00.000000,2017-12-15 08:40:47.919811
000420,C020104,1996-08-02 00:00:00.000000,2017-12-15 08:40:47.919811
000422,C020103,1996-08-15 00:00:00.000000,2017-12-15 08:40:47.919811
000426,C020204,1996-08-28 00:00:00.000000,2017-12-15 08:40:47.919811
000488,C020206,2000-11-20 00:00:00.000000,2017-12-15 08:40:47.919811
000498,C020101,1997-06-09 00:00:00.000000,2017-12-15 08:40:47.919811
000510,C020102,1993-05-07 00:00:00.000000,2017-12-15 08:40:47.919811
000525,C020103,1993-10-28 00:00:00.000000,2017-12-15 08:40:47.919811
000553,C020103,1993-12-03 00:00:00.000000,2017-12-15 08:40:47.919811
000565,C020102,1994-04-08 00:00:00.000000,2017-12-15 08:40:47.919811
000576,C020206,1994-09-07 00:00:00.000000,2017-12-15 08:40:47.919811
000584,C020104,1995-11-28 00:00:00.000000,2017-12-15 08:40:47.919811
000592,C020206,1996-03-27 00:00:00.000000,2017-12-15 08:40:47.919811
000602,C020204,1996-08-19 00:00:00.000000,2017-12-15 08:40:47.919811
000603,C020204,1996-08-23 00:00:00.000000,2017-12-15 08:40:47.919811
000612,C020204,1996-09-26 00:00:00.000000,2017-12-15 08:40:47.919811
000615,C020104,1996-10-16 00:00:00.000000,2017-12-15 08:40:47.919811
000629,C020203,1996-11-15 00:00:00.000000,2017-12-15 08:40:47.919811
000630,C020204,1996-11-20 00:00:00.000000,2017-12-15 08:40:47.919811
000635,C020102,1996-11-20 00:00:00.000000,2017-12-15 08:40:47.919811
000655,C020203,1996-11-28 00:00:00.000000,2017-12-15 08:40:47.919811
000657,C020204,1996-12-05 00:00:00.000000,2017-12-15 08:40:47.919811
000659,C020202,1996-12-03 00:00:00.000000,2017-12-15 08:40:47.919811
000663,C020206,1996-12-06 00:00:00.000000,2017-12-15 08:40:47.919811
000673,C020201,1997-01-24 00:00:00.000000,2017-12-15 08:40:47.919811
000677,C020104,1996-12-26 00:00:00.000000,2017-12-15 08:40:47.919811
000683,C020101,1997-01-31 00:00:00.000000,2017-12-15 08:40:47.919811
000687,C020104,1997-02-21 00:00:00.000000,2017-12-15 08:40:47.919811
000698,C020101,1997-02-20 00:00:00.000000,2017-12-15 08:40:47.919811
000703,C020104,1997-03-28 00:00:00.000000,2017-12-15 08:40:47.919811
000707,C020101,1997-04-15 00:00:00.000000,2017-12-15 08:40:47.919811
000708,C020203,1997-03-26 00:00:00.000000,2017-12-15 08:40:47.919811
000709,C020203,1997-04-16 00:00:00.000000,2017-12-15 08:40:47.919811
000717,C020203,1997-05-08 00:00:00.000000,2017-12-15 08:40:47.919811
000731,C020103,1997-06-17 00:00:00.000000,2017-12-15 08:40:47.919811
000751,C020204,1997-06-26 00:00:00.000000,2017-12-15 08:40:47.919811
000755,C020101,1997-06-27 00:00:00.000000,2017-12-15 08:40:47.919811
000758,C020204,1997-04-16 00:00:00.000000,2017-12-15 08:40:47.919811
