报告日期,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-06-30,2006-12-31,2005-12-31,2004-12-31
主营业务收入增长率(%),51.35,60.64,60.53,55.85,14.88,4.49,-6.04,-9.63,-2.28,2.1,6.7,10.63,17.11,16.36,17.28,21.5,17.91,14.7,14.04,20.11,-23.46,-25.96,-30.44,-34.02,29.08,35.92,54.62,82.82,51.53,59.84,58.14,66.1,7.1,-1.12,-12.61,-17.22,33.54,,35.25,,36.17,,19.11,44.98,
净利润增长率(%),17.33,17.08,12.87,12.46,16.42,16.26,14.33,14.13,16.99,20.21,23.98,27.62,40.36,45.67,52.21,47.07,35.12,35.45,40.78,40.01,-7.54,12.61,4.41,17.5,3.67,-4.88,1.77,27.17,93.28,91.82,66.44,60.75,24.68,13.23,12.78,12.45,1.59,,11.62,,63.88,,95.07,49.03,
净资产增长率(%),20.22,21.69,19.69,22.05,23.1,21.97,19.47,23.5,22.52,22.4,24.41,18.4,17.02,16.27,16.77,19.15,17.84,18.16,18.58,17.42,10.02,10.14,8.5,6.16,33.69,37.22,44.1,59.78,35.99,33.59,51.91,51.29,48.71,40.23,17.36,32.24,30.11,,53.26,,46.22,,19.44,21.63,
总资产增长率(%),45.43,48.59,37.92,52.72,32.41,21.32,18.14,8.9,7.11,15.99,20.06,19.39,24.08,18.68,24.87,14.64,10.5,0.04,-3.43,4.71,-2.89,-6.21,-0.89,-2.5,27.32,41.62,44.01,54.6,36.29,57.12,62.18,62.73,45.04,25.43,7.97,18.91,30.92,,78.21,,41.34,,20.32,27.72,
