报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31
主营业务收入增长率(%),51.35,14.88,-2.28,17.11,17.91,-23.46,29.08,51.53,7.1,33.54,36.17,19.11,44.98,
净利润增长率(%),17.33,16.42,16.99,40.36,35.12,-7.54,3.67,93.28,24.68,1.59,63.88,95.07,49.03,
净资产增长率(%),20.22,23.1,22.52,17.02,17.84,10.02,33.69,35.99,48.71,30.11,46.22,19.44,21.63,
总资产增长率(%),45.43,32.41,7.11,24.08,10.5,-2.89,27.32,36.29,45.04,30.92,41.34,20.32,27.72,
