基金简称,持仓市值(万元),持仓股数(万股),与上期持仓股数变化(万股),占基金净值比例,占流通股比例
前海开源沪港深创新成长混合C,998,18.0,新进,2.82%,0.00%
浦银安盛安和回报定开混合A,166,3.0,新进,0.35%,0.00%
浦银安盛安和回报定开混合C,166,3.0,新进,0.35%,0.00%
泰康泉林量化价值精选混合A,211,3.8,新进,0.29%,0.00%
泰达宏利启富混合A,88,1.58,新进,0.46%,0.00%
平安大华股息精选沪港深股票C,37,0.67,新进,1.12%,0.00%
平安大华股息精选沪港深股票A,37,0.67,新进,1.12%,0.00%
鹏华弘樽混合C,265,4.78,新进,1.16%,0.00%
诺德成长精选混合C,0,0.0,新进,0.00%,0.00%
中海混改红利混合,150,2.71,新进,2.91%,0.00%
大摩量化多策略股票,549,9.9,新进,0.82%,0.00%
诺德成长精选混合A,0,0.0,新进,0.00%,0.00%
鹏华外延成长混合,629,11.34,新进,1.59%,0.00%
南方转型驱动灵活配置混合,443,8.0,新进,2.22%,0.00%
南方绝对收益混合,38,0.69,新进,0.15%,0.00%
诺安高端制造股票,6,0.1,新进,0.11%,0.00%
泰达多元回报债券A,9,0.17,新进,0.32%,0.00%
南方智造未来股票,443,8.0,新进,2.10%,0.00%
南方产业活力股票,1663,30.0,新进,1.13%,0.00%
农银信息传媒股票,2128,38.39,新进,1.06%,0.01%
汇丰晋信消费红利股票,113,2.04,新进,0.40%,0.00%
泰达宏利复兴混合,1784,32.19,新进,1.14%,0.00%
益民品质升级混合,3,0.05,新进,0.01%,0.00%
泰达宏利大数据混合A,1,0.01,新进,0.00%,0.00%
泰达宏利大数据混合C,1,0.01,新进,0.00%,0.00%
泰达宏利沪深300指数增强C,96,1.74,新进,0.94%,0.00%
交银多策略回报灵活配置混合A,443,8.0,新进,0.89%,0.00%
泰达多元回报债券C,9,0.17,新进,0.32%,0.00%
交银多策略回报灵活配置混合C,443,8.0,新进,0.89%,0.00%
泰达宏利蓝筹混合,122,2.2,新进,0.88%,0.00%
交银领先回报灵活配置混合,443,8.0,新进,0.73%,0.00%
民生加银量化中国混合,2,0.03,新进,0.02%,0.00%
建信恒久价值混合,1030,18.58,新进,1.06%,0.00%
建信社会责任混合,62,1.11,新进,1.96%,0.00%
南方利淘混合A,107,1.92,新进,0.17%,0.00%
泰康新回报灵活配置混合C,74,1.34,新进,1.24%,0.00%
泰康新回报灵活配置混合A,74,1.34,新进,1.24%,0.00%
南方安睿混合,16,0.29,新进,0.07%,0.00%
