基金简称,持仓市值(万元),持仓股数(万股),与上期持仓股数变化(万股),占基金净值比例,占流通股比例
泰康丰盈债券,115,2.08,新进,0.50%,0.00%
创金合信沪深300增强A,1351,24.38,新进,2.76%,0.00%
创金合信沪深300增强C,1351,24.38,新进,2.76%,0.00%
国泰结构转型灵活配置混合A,382,6.89,新进,1.33%,0.00%
前海开源鼎瑞债券C,2763,49.85,新进,1.21%,0.01%
泰达宏利启智混合A,1590,28.68,新进,3.53%,0.00%
泰达宏利启智混合C,1590,28.68,新进,3.53%,0.00%
上投摩根红利回报混合C,499,9.0,新进,2.01%,0.00%
泰达宏利养老混合A,326,5.89,新进,0.87%,0.00%
泰达宏利养老混合B,326,5.89,新进,0.87%,0.00%
上投摩根整合驱动混合,9177,165.56,新进,6.66%,0.03%
平安大华转型创新混合C,211,3.8,新进,1.79%,0.00%
中欧康裕混合A,389,7.02,新进,0.49%,0.00%
中银颐利混合A,1441,26.0,新进,2.11%,0.00%
中银颐利混合C,1441,26.0,新进,2.11%,0.00%
中海分红增利混合,1469,26.51,新进,2.90%,0.00%
国联安锐意成长混合,1386,25.0,新进,4.81%,0.00%
中欧消费主题股票A,376,6.78,新进,4.25%,0.00%
平安大华鑫荣混合A,45,0.81,新进,0.29%,0.00%
广发鑫隆混合C,786,14.18,新进,2.05%,0.00%
融通互联网传媒灵活配置混合,5306,95.73,新进,2.52%,0.01%
招商丰利灵活配置混合A,171,3.09,新进,1.46%,0.00%
上投摩根优信增利债券A,14,0.25,新进,0.56%,0.00%
上投摩根稳进回报混合,227,4.09,新进,4.06%,0.00%
中信建投睿康混合A,133,2.4,新进,2.50%,0.00%
中信建投睿康混合C,133,2.4,新进,2.50%,0.00%
华夏高端制造混合,309,5.58,新进,1.71%,0.00%
景顺长城四季金利债券A,109,1.97,新进,0.78%,0.00%
景顺长城领先回报混合C,809,14.6,新进,2.79%,0.00%
新华策略精选股票,2946,53.14,新进,3.59%,0.01%
添富年年泰定开混合A,971,17.51,新进,0.93%,0.00%
添富年年泰定开混合C,971,17.51,新进,0.93%,0.00%
添富年年丰定开混合A,403,7.27,新进,0.93%,0.00%
海富通国策导向混合,1452,26.2,新进,4.78%,0.00%
景顺长城沪深300指数增强,27001,487.11,新进,4.10%,0.08%
中邮稳健添利灵活配置混合,388,7.0,新进,0.60%,0.00%
海富通欣荣混合C,290,5.24,新进,2.91%,0.00%
新华精选低波动股票,1276,23.02,新进,0.80%,0.00%
长信先锐债券,19,0.35,新进,0.33%,0.00%
景顺长城稳健回报混合A,303,5.47,新进,0.41%,0.00%
长信利泰混合,492,8.88,新进,1.97%,0.00%
民生加银优选股票,1453,26.22,新进,5.35%,0.00%
国泰中小盘成长混合(LOF),14587,263.17,新进,3.93%,0.04%
华安强化收益债券A,111,2.0,新进,1.01%,0.00%
华安强化收益债券B,111,2.0,新进,1.01%,0.00%
汇添富沪深300指数(LOF)A,298,5.37,新进,2.04%,0.00%
汇添富沪深300指数(LOF)C,298,5.37,新进,2.04%,0.00%
前海开源鼎瑞债券A,2763,49.85,新进,1.21%,0.01%
中融融信双盈债券A,310,5.59,新进,1.30%,0.00%
银河嘉祥混合A,446,8.05,新进,4.24%,0.00%
融通巨潮100指数(LOF)C,2481,44.75,新进,2.94%,0.01%
申万菱信安鑫精选混合A,610,11.0,新进,0.75%,0.00%
申万菱信安鑫精选混合C,610,11.0,新进,0.75%,0.00%
银河智造混合,337,6.08,新进,3.77%,0.00%
平安大华鑫享混合A,300,5.41,新进,1.21%,0.00%
易方达瑞通混合C,349,6.3,新进,0.51%,0.00%
信诚中证智能家居指数分级B,71,1.29,新进,1.05%,0.00%
前海开源强势共识100强股票,33,0.59,新进,1.16%,0.00%
易方达环保主题混合,1324,23.88,新进,8.89%,0.00%
中银珍利混合A,1293,23.33,新进,1.75%,0.00%
中银珍利混合C,1293,23.33,新进,1.75%,0.00%
中银价值混合,1243,22.42,新进,5.20%,0.00%
广发创新驱动混合,3254,58.7,新进,6.08%,0.01%
招商丰利灵活配置混合C,171,3.09,新进,1.46%,0.00%
信诚中证智能家居指数分级,71,1.29,新进,1.05%,0.00%
银河主题策略混合,5794,104.53,新进,5.19%,0.02%
中银消费主题混合,202,3.65,新进,5.10%,0.00%
上投摩根红利回报混合A,499,9.0,新进,2.01%,0.00%
中银互联网+股票,620,11.19,新进,5.41%,0.00%
方正富邦创新动力混合,51,0.93,新进,3.01%,0.00%
方正富邦红利精选混合,574,10.35,新进,2.59%,0.00%
国泰估值优势混合(LOF),16274,293.6,新进,3.93%,0.05%
华宝宝康配置混合,439,7.92,新进,1.24%,0.00%
华宝新动力混合,262,4.72,新进,0.41%,0.00%
华富华鑫灵活配置混合C,435,7.84,新进,2.55%,0.00%
华夏经典配置混合,3181,57.39,新进,3.94%,0.01%
海富通欣荣混合A,290,5.24,新进,2.91%,0.00%
诺安改革趋势混合,483,8.71,新进,3.86%,0.00%
江信瑞福混合A,333,6.0,新进,4.98%,0.00%
汇添富新兴消费股票,6330,114.2,新进,7.03%,0.02%
嘉实量化阿尔法混合,660,11.9,新进,2.42%,0.00%
建信信息产业股票,2542,45.86,新进,4.36%,0.01%
华夏鼎融债券C,22,0.39,新进,0.11%,0.00%
融通巨潮100指数(LOF)A,2481,44.75,新进,2.94%,0.01%
平安大华转型创新混合A,211,3.8,新进,1.79%,0.00%
华安安益保本混合,1,0.01,新进,0.00%,0.00%
华安新安平混合A,431,7.78,新进,0.84%,0.00%
民生加银研究精选混合,2625,47.35,新进,3.05%,0.01%
建信鑫利混合,869,15.67,新进,1.23%,0.00%
九泰久盛量化先锋混合A,2392,43.16,新进,3.66%,0.01%
华夏消费升级混合A,3326,60.0,新进,4.27%,0.01%
建信民丰回报定期开放混合,125,2.25,新进,0.14%,0.00%
华宝新优选混合,261,4.7,新进,0.45%,0.00%
九泰久盛量化先锋混合C,2392,43.16,新进,3.66%,0.01%
平安大华鑫荣混合C,45,0.81,新进,0.29%,0.00%
华夏消费升级混合C,3326,60.0,新进,4.27%,0.01%
华宝第三产业混合,304,5.48,新进,2.08%,0.00%
银华中证等权90指数鑫利,236,4.26,新进,1.13%,0.00%
建信量化事件驱动股票,206,3.72,新进,1.09%,0.00%
南华瑞盈混合发起A,72,1.3,新进,2.45%,0.00%
南华瑞盈混合发起C,72,1.3,新进,2.45%,0.00%
平安大华鑫享混合C,300,5.41,新进,1.21%,0.00%
银华中证等权90指数分级,236,4.26,新进,1.13%,0.00%
添富年年丰定开混合C,403,7.27,新进,0.93%,0.00%
景顺长城景颐双利债券A,831,15.0,新进,0.49%,0.00%
景顺长城景颐双利债券C,831,15.0,新进,0.49%,0.00%
建信互联网+产业升级股票,4424,79.82,新进,3.16%,0.01%
景顺长城稳健回报混合C,303,5.47,新进,0.41%,0.00%
景顺长城景盛双息收益债券A,22,0.4,新进,0.39%,0.00%
华宝新起点混合,261,4.71,新进,0.39%,0.00%
景顺长城景盈金利债券A,55,0.99,新进,0.86%,0.00%
鹏华策略回报混合,1500,27.07,新进,5.39%,0.00%
景顺长城景瑞睿利回报定期开放混合,473,8.53,新进,1.05%,0.00%
南方高端装备混合C,2216,39.98,新进,5.12%,0.01%
光大保德信欣鑫混合A,569,10.26,新进,2.69%,0.00%
信诚周期轮动混合(LOF),1663,30.0,新进,2.58%,0.00%
中邮多策略灵活配置混合,998,18.0,新进,2.93%,0.00%
新华万银策略灵活配置混合,1389,25.05,新进,3.95%,0.00%
景顺长城泰和回报混合A,498,8.98,新进,1.18%,0.00%
景顺长城景盈金利债券C,55,0.99,新进,0.86%,0.00%
华安宏利混合,14663,264.54,新进,5.94%,0.04%
景顺长城研究精选股票,453,8.18,新进,1.83%,0.00%
景顺长城泰和回报混合C,498,8.98,新进,1.18%,0.00%
华夏睿磐泰盛定开混合,83,1.5,新进,0.23%,0.00%
申万菱信盛利精选混合,3825,69.01,新进,5.07%,0.01%
华富华鑫灵活配置混合A,435,7.84,新进,2.55%,0.00%
嘉实事件驱动股票,16070,289.92,新进,2.40%,0.04%
江信瑞福混合C,333,6.0,新进,4.98%,0.00%
益民红利成长混合,976,17.61,新进,2.42%,0.00%
华安新安平混合C,431,7.78,新进,0.84%,0.00%
景顺长城量化新动力股票,1986,35.84,新进,3.57%,0.01%
景顺长城景盛双息收益债券C,22,0.4,新进,0.39%,0.00%
九泰天富改革混合,3094,55.81,新进,3.66%,0.01%
景顺长城领先回报混合A,809,14.6,新进,2.79%,0.00%
华夏鼎融债券A,22,0.39,新进,0.11%,0.00%
国泰金鼎价值混合,5820,105.0,新进,5.08%,0.02%
景顺长城四季金利债券C,109,1.97,新进,0.78%,0.00%
新华趋势领航混合,3473,62.66,新进,2.88%,0.01%
景顺长城优质成长股票,185,3.33,新进,3.57%,0.00%
广发百发大数据精选混合A,513,9.25,新进,5.73%,0.00%
长信金利趋势混合,3288,59.32,新进,2.19%,0.01%
南方品质优选灵活配置混合,18835,339.79,新进,3.20%,0.05%
南方荣优鑫年享定期开放混合A,456,8.23,新进,0.57%,0.00%
南方荣优鑫年享定期开放混合C,456,8.23,新进,0.57%,0.00%
工银新机遇灵活配置混合A,420,7.57,新进,3.21%,0.00%
海富通中小盘混合,851,15.36,新进,4.62%,0.00%
鹏华养老产业股票,2285,41.22,新进,5.05%,0.01%
江信同福混合A,44,0.8,新进,5.86%,0.00%
江信同福混合C,44,0.8,新进,5.86%,0.00%
建信进取,135,2.44,新进,0.82%,0.00%
华泰柏瑞行业领先混合,1,0.01,新进,0.00%,0.00%
景顺长城沪深300等权重ETF,14,0.26,新进,0.35%,0.00%
华泰柏瑞行业竞争优势混合,17,0.3,新进,0.08%,0.00%
华夏港股通精选股票(LOF),863,15.57,新进,2.30%,0.00%
华夏磐泰定开混合(LOF),65,1.17,新进,0.27%,0.00%
九泰锐益定增混合,1268,22.88,新进,0.57%,0.00%
华泰柏瑞量化增强混合A,4825,87.06,新进,0.96%,0.01%
嘉实基本面50指数(LOF),4317,77.88,新进,2.44%,0.01%
嘉实多利分级债券,17,0.31,新进,0.19%,0.00%
建信多因子量化股票,101,1.82,新进,0.94%,0.00%
华泰柏瑞盛世中国混合,30,0.55,新进,0.02%,0.00%
嘉实多利分级债券进取,17,0.31,新进,0.19%,0.00%
华泰柏瑞健康生活混合,55,1.0,新进,0.07%,0.00%
华夏新经济混合,2493,44.97,新进,0.06%,0.01%
华夏红利混合,14790,266.82,新进,1.53%,0.04%
景顺长城优势企业混合,320,5.78,新进,1.06%,0.00%
华泰柏瑞创新升级混合,7,0.12,新进,0.02%,0.00%
华商量化进取混合,5543,100.0,新进,2.24%,0.02%
嘉实新起点混合A,64,1.15,新进,0.10%,0.00%
建信鑫盛回报灵活配置混合,320,5.77,新进,1.64%,0.00%
建信改革红利股票,515,9.3,新进,1.51%,0.00%
建信睿盈灵活配置混合C,466,8.4,新进,2.00%,0.00%
嘉实绝对收益策略定期混合,6,0.11,新进,0.05%,0.00%
华商新常态混合,942,17.0,新进,2.22%,0.00%
建信现代服务业股票,67,1.21,新进,1.59%,0.00%
华商新量化混合,776,14.0,新进,1.08%,0.00%
华夏网购精选混合,27,0.49,新进,0.32%,0.00%
华夏新锦图混合A,113,2.03,新进,0.52%,0.00%
华泰柏瑞量化绝对收益混合,287,5.17,新进,0.73%,0.00%
嘉实沪深300指数研究增强,0,0.0,新进,0.00%,0.00%
华泰柏瑞睿利混合A,27,0.49,新进,0.13%,0.00%
建信潜力新蓝筹股票,191,3.44,新进,1.98%,0.00%
华商乐享互联混合,554,10.0,新进,2.66%,0.00%
建信精工制造指数增强,151,2.73,新进,0.76%,0.00%
华泰柏瑞量化优选混合,727,13.11,新进,0.68%,0.00%
建信中证500指数增强A,153,2.76,新进,0.08%,0.00%
汇添富外延增长主题股票,2622,47.29,新进,0.68%,0.01%
华泰柏瑞量化驱动混合,894,16.12,新进,0.63%,0.00%
华泰柏瑞创新动力混合,3,0.06,新进,0.02%,0.00%
华泰柏瑞量化对冲混合,93,1.68,新进,0.26%,0.00%
嘉实研究增强混合,336,6.06,新进,0.58%,0.00%
嘉实新起点混合C,64,1.15,新进,0.10%,0.00%
金信转型创新成长混合,114,2.05,新进,4.45%,0.00%
华商创新成长混合发起式,1524,27.5,新进,2.34%,0.00%
华泰柏瑞精选回报混合,83,1.49,新进,0.15%,0.00%
建信睿盈灵活配置混合A,466,8.4,新进,2.00%,0.00%
建信新经济灵活配置混合,1052,18.98,新进,1.99%,0.00%
景顺长城景颐增利债券A,109,1.96,新进,0.40%,0.00%
景顺长城景颐增利债券C,109,1.96,新进,0.40%,0.00%
华泰柏瑞睿利混合C,27,0.49,新进,0.13%,0.00%
华夏成长混合,277,5.0,新进,0.06%,0.00%
九泰锐富事件驱动混合,986,17.79,新进,1.56%,0.00%
华夏磐晟定开混合(LOF),672,12.12,新进,1.93%,0.00%
景顺长城优信增利债券A,194,3.5,新进,0.23%,0.00%
景顺长城优信增利债券C,194,3.5,新进,0.23%,0.00%
华夏蓝筹混合(LOF),2380,42.94,新进,0.53%,0.01%
嘉实多利分级债券优先,17,0.31,新进,0.19%,0.00%
建信稳健,135,2.44,新进,0.82%,0.00%
建信双利分级,135,2.44,新进,0.82%,0.00%
景顺长城动力平衡混合,3101,55.94,新进,1.76%,0.01%
嘉实多元债券A,63,1.13,新进,0.14%,0.00%
华夏行业混合(LOF),1594,28.75,新进,0.62%,0.00%
嘉实多元债券B,63,1.13,新进,0.14%,0.00%
嘉实对冲套利定期混合,12,0.21,新进,0.10%,0.00%
华夏新锦图混合C,113,2.03,新进,0.52%,0.00%
华夏优势增长混合,4118,74.29,新进,0.63%,0.01%
汇添富国企创新股票,1497,27.0,新进,1.50%,0.00%
嘉实企业变革股票,2411,43.5,新进,1.51%,0.01%
银华锐进,15417,348.89,增仓31.06,5.37%,0.05%
广发聚优灵活配置混合A,2629,59.5,增仓43.34,3.95%,0.01%
安信新起点混合A,200,4.53,增仓2.17,2.06%,0.00%
安信新起点混合C,200,4.53,增仓2.17,2.06%,0.00%
长盛战略新兴产业混合A,764,17.3,增仓1.23,1.76%,0.00%
银华稳进,15417,348.89,增仓31.06,5.37%,0.05%
嘉实深证基本面120联接,33,0.74,增仓0.17,0.20%,0.00%
工银月月薪定期支付债券A,227,5.13,增仓4.73,0.39%,0.00%
长盛积极配置债券,214,4.85,增仓0.01,0.43%,0.00%
银华多元视野灵活配置混合,344,7.79,增仓0.83,1.92%,0.00%
中欧沪深300指数增强(LOF)A,159,3.61,增仓1.59,1.64%,0.00%
大成中证100ETF,66,1.5,增仓0.06,2.62%,0.00%
宝盈优势产业混合,868,19.64,增仓3.29,8.11%,0.00%
工银深证红利ETF,4921,111.37,增仓131.61,13.04%,0.02%
申万菱信沪深300价值指数,842,19.06,增仓6.42,3.09%,0.00%
新华灵活主题混合,79,1.79,增仓2.61,2.58%,0.00%
光大保德信铭鑫混合C,707,16.0,增仓3.13,1.35%,0.00%
汇添富价值精选混合A,16354,370.09,增仓161.75,3.68%,0.06%
信诚永丰混合A,287,6.51,增仓0.60,0.47%,0.00%
信诚永鑫混合C,349,7.9,增仓0.59,0.57%,0.00%
国泰景气行业灵活配置混合,5798,131.21,增仓77.07,6.26%,0.02%
大摩深证300指数增强,170,3.84,增仓0.50,3.55%,0.00%
泰达宏利启明混合C,708,16.03,增仓13.91,1.35%,0.00%
泰达宏利启迪混合A,709,16.05,增仓15.51,1.35%,0.00%
招商深证100指数A,385,8.72,增仓0.81,5.51%,0.00%
南方新兴消费进取,3296,74.59,增仓35.12,4.84%,0.01%
鹏华沪深300指数(LOF),602,13.63,增仓4.27,1.75%,0.00%
中银中证100指数增强,881,19.93,增仓0.38,2.61%,0.00%
景顺长城核心竞争力混合A,8838,200.0,增仓50.00,5.55%,0.03%
中欧行业成长混合(LOF)C,20331,460.09,增仓63.81,5.35%,0.07%
华润元大富时中国A50指数,493,11.16,增仓6.76,3.20%,0.00%
汇添富高端制造股票,8100,183.31,增仓38.51,9.74%,0.03%
华宝中证100指数,1927,43.61,增仓0.26,2.65%,0.01%
平安大华鑫安混合A,396,8.97,增仓0.39,1.51%,0.00%
平安大华鑫安混合C,396,8.97,增仓0.39,1.51%,0.00%
泰达宏利启惠混合C,708,16.03,增仓13.74,1.23%,0.00%
银华深证100指数分级,15417,348.89,增仓31.06,5.37%,0.05%
鹏华改革红利股票,6488,146.83,增仓0.01,3.78%,0.02%
天弘沪深300指数,1409,31.89,增仓9.06,1.72%,0.00%
中银宏利混合A,3409,77.15,增仓0.37,4.33%,0.01%
中银宏利混合C,3409,77.15,增仓0.37,4.33%,0.01%
新华鑫利灵活配置混合,53,1.2,增仓1.57,2.17%,0.00%
太平灵活配置混合,2872,65.0,增仓3.00,1.76%,0.01%
泰达宏利启泽混合C,708,16.03,增仓14.79,1.23%,0.00%
招商央视财经50指数A,401,9.06,增仓9.92,4.08%,0.00%
上投摩根大盘蓝筹股票,1883,42.62,增仓4.76,5.05%,0.01%
汇添富蓝筹稳健混合,19223,435.01,增仓404.99,9.11%,0.07%
南方深证成份ETF联接A,3,0.07,增仓0.22,0.01%,0.00%
交银深证300价值联接,9,0.2,增仓0.11,0.15%,0.00%
华泰柏瑞沪深300ETF,32483,735.08,增仓51.70,1.83%,0.11%
东方红优势精选混合,5555,125.7,增仓46.19,6.83%,0.02%
建信央视财经50指数分级B,1877,42.48,增仓37.82,4.05%,0.01%
招商央视财经50指数C,401,9.06,增仓9.92,4.08%,0.00%
泰康宏泰回报混合,382,8.65,增仓1.23,1.11%,0.00%
南方新兴消费增长分级股票,3296,74.59,增仓35.12,4.84%,0.01%
南方深证成份ETF联接C,3,0.07,增仓0.22,0.01%,0.00%
中欧沪深300指数增强(LOF)E,159,3.61,增仓1.59,1.64%,0.00%
大摩领先优势混合,1515,34.28,增仓1.53,3.22%,0.01%
深F60ETF,1027,23.24,增仓9.52,7.53%,0.00%
景顺长城核心竞争力混合H,8838,200.0,增仓50.00,5.55%,0.03%
中欧行业成长混合(LOF)E,20331,460.09,增仓63.81,5.35%,0.07%
泰康新机遇灵活配置混合,3156,71.41,增仓8.69,1.44%,0.01%
工银月月薪定期支付债券C,227,5.13,增仓4.73,0.39%,0.00%
广发稳裕保本混合,3372,76.3,增仓37.05,0.83%,0.01%
光大保德信铭鑫混合A,707,16.0,增仓3.13,1.35%,0.00%
MSCI中国A股ETF,470,10.64,增仓0.07,1.14%,0.00%
长盛战略新兴产业混合C,764,17.3,增仓1.23,1.76%,0.00%
汇丰晋信恒生龙头指数C,1381,31.26,增仓0.80,5.42%,0.00%
宝盈新锐混合,899,20.34,增仓5.21,7.97%,0.00%
建信央视财经50指数分级,1877,42.48,增仓37.82,4.05%,0.01%
景顺长城景瑞双利定期开放债券,110,2.49,增仓0.95,0.52%,0.00%
泰达宏利启惠混合A,708,16.03,增仓13.74,1.23%,0.00%
泰达宏利启明混合A,708,16.03,增仓13.91,1.35%,0.00%
泰达宏利启泽混合A,708,16.03,增仓14.79,1.23%,0.00%
泰达宏利启迪混合C,709,16.05,增仓15.51,1.35%,0.00%
建信央视财经50指数分级A,1877,42.48,增仓37.82,4.05%,0.01%
招商深证100指数C,385,8.72,增仓0.81,5.51%,0.00%
易方达消费行业股票,55269,1250.71,增仓950.04,9.17%,0.19%
信诚永利混合A,288,6.51,增仓0.60,0.47%,0.00%
信诚永丰混合C,287,6.51,增仓0.60,0.47%,0.00%
汇添富深证300ETF联接,6,0.13,增仓0.02,0.07%,0.00%
信诚永鑫混合A,349,7.9,增仓0.59,0.57%,0.00%
易方达深证100ETF,20775,470.14,增仓20.48,5.78%,0.07%
汇添富消费行业混合,21211,480.0,增仓10.00,7.20%,0.07%
汇添富可转债债券C,133,3.0,增仓3.99,0.99%,0.00%
汇添富可转债债券A,133,3.0,增仓3.99,0.99%,0.00%
招商沪深300指数C,639,14.46,增仓2.47,2.51%,0.00%
中欧行业成长混合(LOF)A,20331,460.09,增仓63.81,5.35%,0.07%
天弘中证100指数C,56,1.26,增仓1.24,2.68%,0.00%
鹏华量化策略混合,3,0.06,增仓0.19,0.05%,0.00%
招商沪深300指数A,639,14.46,增仓2.47,2.51%,0.00%
鹏华品牌传承混合,438,9.92,增仓2.66,5.09%,0.00%
汇丰晋信恒生龙头指数A,1381,31.26,增仓0.80,5.42%,0.00%
泰康策略优选混合,1427,32.3,增仓4.36,1.61%,0.01%
诺安先进制造股票,645,14.6,增仓19.20,4.77%,0.00%
信诚永利混合C,288,6.51,增仓0.60,0.47%,0.00%
东方红新动力混合,12815,290.0,增仓101.54,3.10%,0.05%
南方新兴消费收益,3296,74.59,增仓35.12,4.84%,0.01%
农银区间策略混合,373,8.44,增仓3.69,1.20%,0.00%
东方红优享红利混合,23330,527.94,增仓84.94,6.58%,0.08%
国投瑞银深证100指数(LOF),1760,39.83,增仓19.40,3.35%,0.01%
宝盈中证100指数增强,511,11.56,增仓0.32,2.53%,0.00%
东方岳灵活配置混合,381,8.63,增仓0.05,1.72%,0.00%
东方红产业升级混合,30677,694.2,增仓213.54,8.85%,0.11%
工银沪深300指数,3065,69.37,增仓5.24,1.73%,0.01%
天弘中证100指数A,56,1.26,增仓1.24,2.68%,0.00%
东吴深证100指数增强(LOF),36,0.81,增仓0.10,6.13%,0.00%
大成沪深300指数,2746,62.15,增仓2.84,1.34%,0.01%
国投瑞银和顺债券,124,2.8,增仓0.50,2.86%,0.00%
广发行业领先混合H,22095,500.0,不变,6.01%,0.08%
工银核心价值混合H,15536,351.57,不变,3.47%,0.05%
兴业成长动力混合,334,7.55,不变,6.41%,0.00%
华夏回报混合H,66313,1500.64,不变,7.08%,0.23%
长盛新兴成长混合,1970,44.59,不变,4.64%,0.01%
德邦鑫星价值灵活配置混合C,663,15.0,不变,0.94%,0.00%
广发安盈混合A,371,8.39,不变,1.85%,0.00%
鹏华消费领先混合,1019,23.05,不变,3.99%,0.00%
诺德深证300指数分级B,28,0.63,不变,3.15%,0.00%
华夏回报混合A,66313,1500.64,不变,7.08%,0.23%
鹏华盛世创新混合(LOF),456,10.31,不变,4.87%,0.00%
华夏回报二号混合,34761,786.63,不变,7.41%,0.12%
易方达行业领先混合,3535,80.0,不变,4.55%,0.01%
汇添富盈安保本混合,16351,370.0,不变,4.62%,0.06%
兴业国企改革混合,557,12.61,不变,4.01%,0.00%
天治新消费混合,102,2.3,不变,4.02%,0.00%
南方高端装备混合A,1767,39.98,不变,4.12%,0.01%
汇添富优势精选混合,12373,280.0,不变,6.86%,0.04%
华夏安康优选债券A,707,16.0,不变,2.72%,0.00%
华夏安康优选债券C,707,16.0,不变,2.72%,0.00%
交银稳健配置混合A,20534,464.67,不变,5.75%,0.07%
诺德深证300指数分级,28,0.63,不变,3.15%,0.00%
汇添富保鑫保本混合,2872,65.0,不变,2.58%,0.01%
华泰柏瑞沪深300ETF联接,7,0.15,不变,0.05%,0.00%
汇添富美丽30混合,15908,360.0,不变,6.56%,0.06%
景顺长城新兴成长混合,9280,210.0,不变,6.83%,0.03%
汇添富双利债券C,143,3.23,不变,1.59%,0.00%
金元顺安核心动力混合,661,14.96,不变,1.63%,0.00%
交银深证300价值ETF,456,10.31,不变,7.65%,0.00%
广发安盈混合C,371,8.39,不变,1.85%,0.00%
九泰天宝灵活配置混合A,1060,24.0,不变,5.73%,0.00%
德邦鑫星价值灵活配置混合A,663,15.0,不变,0.94%,0.00%
景顺长城鼎益混合(LOF),13257,300.0,不变,7.07%,0.05%
汇添富盈稳保本混合,11048,250.0,不变,4.38%,0.04%
中邮睿信增强债券,442,10.0,不变,2.12%,0.00%
诺德深证300指数分级A,28,0.63,不变,3.15%,0.00%
中银鑫利混合C,359,8.12,不变,5.32%,0.00%
汇添富双利债券A,143,3.23,不变,1.59%,0.00%
汇添富盈鑫保本混合,16792,380.0,不变,4.96%,0.06%
信诚至泰混合A,279,6.31,不变,1.43%,0.00%
九泰天宝灵活配置混合C,1060,24.0,不变,5.73%,0.00%
信诚至泰混合C,279,6.31,不变,1.43%,0.00%
中银鑫利混合A,359,8.12,不变,5.32%,0.00%
华安新丰利混合C,277,6.26,不变,1.34%,0.00%
华安新丰利混合A,277,6.26,不变,1.34%,0.00%
华夏大盘精选混合,12434,281.37,不变,5.03%,0.04%
工银大盘蓝筹混合,1133,25.65,不变,2.80%,0.00%
工银核心价值混合A,15536,351.57,不变,3.47%,0.05%
申万菱信稳益宝债券,265,6.0,不变,0.85%,0.00%
广发行业领先混合A,22095,500.0,不变,6.01%,0.08%
嘉实环保低碳股票,11491,260.04,减仓10.75,4.81%,0.04%
德邦大健康灵活配置混合,2090,47.3,减仓2.10,8.70%,0.01%
光大保德信永鑫混合A,1325,30.0,减仓7.50,1.06%,0.00%
光大保德信永鑫混合C,1325,30.0,减仓7.50,1.06%,0.00%
大成深证成份ETF,1034,23.41,减仓1.84,2.83%,0.00%
银华沪深300指数分级B,234,5.29,减仓0.42,1.71%,0.00%
国泰沪深300指数,3262,73.82,减仓6.24,1.69%,0.01%
东方红睿丰混合(LOF),85539,1935.72,减仓34.97,6.95%,0.30%
银华大数据灵活配置定期开放混合发起式,109,2.46,减仓0.76,1.44%,0.00%
国泰金马稳健混合,14517,328.51,减仓53.87,9.65%,0.05%
融通深证100指数C,47967,1085.48,减仓147.30,5.53%,0.17%
融通深证成份指数C,438,9.92,减仓0.41,2.74%,0.00%
浙商沪深300指数分级,452,10.23,减仓6.39,1.76%,0.00%
平安大华深证300指数增强,244,5.52,减仓0.83,3.61%,0.00%
信诚沪深300指数分级A,489,11.07,减仓1.22,1.32%,0.00%
广发中证全指可选消费ETF,2664,60.29,减仓6.41,7.19%,0.01%
前海开源外向企业股票,180,4.08,减仓0.22,3.06%,0.00%
德邦优化配置混合,155,3.5,减仓0.20,2.41%,0.00%
长安沪深300非周期行业指数,341,7.71,减仓2.48,3.43%,0.00%
易方达沪深300ETF联接,148,3.34,减仓3.29,0.04%,0.00%
易方达深证100ETF联接A,474,10.73,减仓4.03,0.28%,0.00%
海富通养老收益混合A,556,12.59,减仓10.16,1.64%,0.00%
大成景尚灵活配置混合A,379,8.58,减仓3.22,0.45%,0.00%
申万菱信新经济混合,7699,174.23,减仓174.23,4.21%,0.03%
金元顺安新经济主题混合,1017,23.02,减仓5.01,7.21%,0.00%
前海联合沪深300指数,185,4.19,减仓0.21,3.31%,0.00%
前海开源沪深300指数,15,0.35,减仓0.06,1.50%,0.00%
国投瑞银安颐多策略混合,362,8.2,减仓3.10,3.97%,0.00%
信诚量化阿尔法股票,137,3.09,减仓2.39,1.79%,0.00%
易方达沪深300发起式ETF,7083,160.28,减仓4.46,1.81%,0.02%
中银润利混合A,3812,86.26,减仓5.05,4.70%,0.01%
易方达深证成指ETF,77,1.74,减仓0.49,2.83%,0.00%
大摩品质生活精选股票,2691,60.9,减仓8.30,3.84%,0.01%
汇添富沪深300安中指数,1027,23.24,减仓14.57,2.87%,0.00%
银华永祥灵活配置混合,437,9.88,减仓7.60,1.56%,0.00%
大成景尚灵活配置混合C,379,8.58,减仓3.22,0.45%,0.00%
国富中证100指数增强分级B,297,6.71,减仓1.77,2.87%,0.00%
国富中证100指数增强分级A,297,6.71,减仓1.77,2.87%,0.00%
工银深证100指数分级B,227,5.13,减仓0.06,5.40%,0.00%
工银深证100指数分级A,227,5.13,减仓0.06,5.40%,0.00%
广发深证100指数分级B,532,12.03,减仓0.69,5.52%,0.00%
银河研究精选混合,12373,280.0,减仓124.00,3.94%,0.04%
华夏沪深300指数增强A,852,19.29,减仓4.10,1.96%,0.00%
华夏沪深300指数增强C,852,19.29,减仓4.10,1.96%,0.00%
广发可选消费联接C,52,1.17,减仓0.89,0.13%,0.00%
广发深证100指数分级A,532,12.03,减仓0.69,5.52%,0.00%
